"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3442","Раскрытие ответа на вопрос №5","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","5695","Заказ: точка входа=click_order_button_top, данные №0","tests","2026-07-05","passed","2026-07-05","TestOrder","test_order","",""
"","3893","Клик по лого самоката ведёт на главную","tests","2026-07-05","passed","2026-07-05","TestLogos","test_order","",""
"","4758","Раскрытие ответа на вопрос №2","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","5157","Заказ: точка входа=click_order_button_bottom, данные №0","tests","2026-07-05","passed","2026-07-05","TestOrder","test_order","",""
"","3431","Раскрытие ответа на вопрос №6","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","4207","Раскрытие ответа на вопрос №0","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","3741","Раскрытие ответа на вопрос №1","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","2511","Раскрытие ответа на вопрос №4","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","2479","Раскрытие ответа на вопрос №7","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
"","5816","Заказ: точка входа=click_order_button_top, данные №1","tests","2026-07-05","passed","2026-07-05","TestOrder","test_order","",""
"","5516","Клик по лого Яндекса открывает Дзен в новой вкладке через редирект","tests","2026-07-05","passed","2026-07-05","TestLogos","test_order","",""
"","4299","Заказ: точка входа=click_order_button_bottom, данные №1","tests","2026-07-05","passed","2026-07-05","TestOrder","test_order","",""
"","3119","Раскрытие ответа на вопрос №3","tests","2026-07-05","passed","2026-07-05","TestAccordion","test_accordion","",""
